cluster_id,author_label,annotation,state,CL_term,CL_term_id,confidence,author_label_similarity_score
1,0,Erythroid Cell,differentiated,erythroid lineage cell,CL_0000764,High,
2,1,Epidermal Keratinocyte,"differentiated, homeostatic",epidermal keratinocyte,CL_4052061,Moderate,
3,2,Regenerative Blastema Fibroblast,"Proliferative, dedifferentiated, multipotent",blastemal cell,CL_0000354,High,
4,3,Mucin-Secreting Epithelial Cell,secretory/barrier-forming,urothelial cell,CL_0000731,Moderate,
5,4,Macrophage,"activated, phagocytic, immunoregulatory",macrophage,CL_0000235,High,
6,5,Mesenchymal Progenitor Cell,"proliferating, regeneration-associated",mesenchymal stem cell,CL_0000134,Moderate,
7,6,Keratinocyte,"differentiated, quiescent",keratinocyte,CL_0000312,Moderate,
8,7,Epithelial Cell,"wound-associated, metabolically active, oxidative stress-responsive",epithelial cell,CL_0000066,High,
9,8,CD8+ T Cell,cytotoxic,"CD8-positive, alpha-beta cytotoxic T cell",CL_0000794,High,
10,9,Antimicrobial Macrophage,antimicrobial/immunomodulatory,plasmatocyte,CL_0000394,Moderate,
11,10,Fibroblast,"activated, ECM-remodeling",fibroblast,CL_0000057,High,
12,11,Macrophage,"activated, phagocytic",macrophage,CL_0000235,High,
13,12,B Cell,quiescent,B cell,CL_0000236,High,
14,13,Vascular Endothelial Cell,angiogenic/remodeling,blood vessel endothelial cell,CL_0000071,High,
15,14,Basal Keratinocyte,"proliferating, wound-associated",basal cell of epidermis,CL_0002187,High,
16,15,Schwann Cell Precursor,"proliferating, progenitor",Schwann cell precursor,CL_0002375,Moderate,